StationID,SumReal,Quality
A10,-0.5230003055916841,medium
A23,3.162598209041035,medium
A27,0.9625654955445515,medium
A28,-1.340755062585045,medium
A29,3.3878000267242374,medium
A5,-2.822606537829129,medium
A53,2.3184761945585652,medium
A58,7.200637967183422,degraded
A6,0.8617486307469515,medium
A66,-4.604392090385231,reference
DBC2,7.454195004964671,degraded
DCC2,-1.1035915681616562,medium
DCE3,6.493354040365986,degraded
DJC2,6.377613815138838,degraded
GL1,-4.1988070195305625,reference
MCE2,8.314286017259068,degraded
S1,-4.507763810573428,reference
S10,0.8399141975513322,medium
S100,-0.4535223353689033,medium
S101,-1.8685222182428554,medium
S102,-2.7401899236948113,medium
S11,-0.254336326816756,medium
S12,5.877325153268808,degraded
S13,1.9965178544768367,medium
S14,2.030876965995648,medium
S15,3.698381099818526,degraded
S16,1.2378633559865397,medium
S17,-1.179206289626879,medium
S18,-2.051993201150074,medium
S19,-0.24167291516537104,medium
S20,0.13256222772057535,medium
S21,0.18213657387908078,medium
S21(5),-0.7444050456214729,medium
S22,-3.001660421407893,medium
S23,-0.919507682128434,medium
S24,1.1312789309963727,medium
S25,-2.7214995738930154,medium
S27,7.792016414783708,degraded
S27(5),8.425906718705434,degraded
S28,-1.9000449573482767,medium
S28(5),-1.0270246686611841,medium
S3,2.9468284923859915,medium
S36,-0.02271173693034889,medium
S37,-2.4871167346863223,medium
S38,-6.610672398891866,reference
S39,-1.7716596878719375,medium
S4,4.489353754626452,degraded
S40,0.7393240598495654,medium
S41,-1.9921544156505009,medium
S42,-0.6652104427131579,medium
S43,0.2769193135233454,medium
S44,-1.3281138597460513,medium
S45,1.5752584766161641,medium
S46,4.180830211538138,degraded
S47,-0.2685024346677638,medium
S48,-0.7012878861594487,medium
S49,-0.36819854035106003,medium
S5,9.496801136668976,degraded
S50,-3.688355166681495,reference
S51,-7.956467117778934,reference
S52,-6.475248262289384,reference
S53,-8.888418116153337,reference
S54,-10.48138835968376,reference
S55,-3.099252326504888,medium
S56,-4.077707336587654,reference
S57,2.437801910350984,medium
S58,-0.5092305351543562,medium
S60,0.050229365288678496,medium
S61,5.91472771310216,degraded
S62,1.725736386965863,medium
S63,-1.7908800672989775,medium
S64,-4.206917583953486,reference
S65,-11.817283066400229,reference
S66,-1.0905667931488905,medium
S67,-0.7578738291843732,medium
S68,-2.2687400758700615,medium
S69,-2.2799733799845883,medium
S70,-8.898067391666022,reference
S72,-7.5250817165191695,reference
S74,-4.797469964780197,reference
S78,3.6514026459305846,medium
S79,-3.957953349965078,reference
S8,-1.7926627035336544,medium
S80,0.797242652151571,medium
S81,-7.263010083895215,reference
S82,-3.1679131237976392,reference
S83,0.3931695118495142,medium
S84,3.9442762625036454,degraded
S85,15.617431984344742,degraded
S87,-0.8711966933666803,medium
S89,6.793784516520019,degraded
S9,-1.9270278756778922,medium
S90,4.190815082530231,degraded
S93,-4.8706585069380015,reference
S94,3.2393004800535685,medium
S95,-2.355077823426635,medium
S96,-5.222861730249732,reference
S97,-3.566975746223348,reference
S98,9.937399397556836,degraded
S99,-1.8349082929818357,medium
UBC1,6.69700798658166,degraded
UCC1,5.659224304117808,degraded
UCE1,-0.156383549820031,medium
UJC1,7.3827601211999685,degraded
