block,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,environmental,environmental,environmental,environmental,environmental,environmental,environmental,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,taxa,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,chemical,pollution,pollution,pollution,pollution,pollution,pollution,pollution,pollution
subblock,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,raw,hellinger,hellinger,hellinger,hellinger,hellinger,hellinger,hellinger,hellinger,hellinger,hellinger,hellinger,hellinger,hellinger,hellinger,hellinger,hellinger,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,logz,sumreal_by_logz_chemical,sumreal_by_logz_chemical,sumreal_by_logz_chemical,sumreal_by_logz_chemical,2006_rank,2006_rank,2006_rank,2006_rank
var,1234TCB,1245TCB,Al,As,Bi,Ca,Cd,Co,Cr,Cu,Fe,HCB,Heptachlor_Epoxide,Hg,K,Mg,Mn,Na,Ni,OC,OCS,Pb,QCB,Sb,V,Zn,mirex,ppDDD,ppDDE,total_PCB,Dissolved_Oxygen_Concentration_mgL,Latitude,Longitude,Median_Particle_Size_Phi,Total_Organic_Carbon_LOI_,Water_Depth_m,Water_Temperature_C,Acari,Amphipoda,Caenis,Ceratopogonidae,Chironomidae,Dreissena,Gastropoda,Hexagenia,Hirudinea,Hydropsychidae,Hydrozoa,Nematoda,Oligochaeta,Other_Trichoptera,Sphaeriidae,Turbellaria,Acari,Amphipoda,Caenis,Ceratopogonidae,Chironomidae,Dreissena,Gastropoda,Hexagenia,Hirudinea,Hydropsychidae,Hydrozoa,Nematoda,Oligochaeta,Other_Trichoptera,Sphaeriidae,Turbellaria,1234TCB,1245TCB,Al,As,Bi,Ca,Cd,Co,Cr,Cu,Fe,HCB,Heptachlor_Epoxide,Hg,K,Mg,Mn,Na,Ni,OC,OCS,Pb,QCB,Sb,V,Zn,mirex,ppDDD,ppDDE,total_PCB,SumReal,Quality,SumReal_Shuffled,Quality_Shuffled,Rank,rank,Quality,SumReal
StationID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A10,0.835582519,0.775731583,3041,1.939,18.45,28170,0.295,2.723,8.766,17.64,7462,0.626256691,0.0,0.03831,504.5,13530,133.3,118.2,7.328,3.436193279,0.283217393,6.515,0.12582363,25.83,13.62,39.01,0.0,0.523188449,0.239244533,2.493819826,10.21,42.9,-82.47,1.73,3.44,1.8,19.17,3.2e-16,3.2e-16,3.2e-16,3.2e-16,2.077683438,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,1.727234056,6.576942114,3.2e-16,3.2e-16,3.2e-16,5.55e-09,5.55e-09,5.55e-09,5.55e-09,0.447354812,5.55e-09,5.55e-09,5.55e-09,5.55e-09,5.55e-09,5.55e-09,0.407885269,0.795929193,5.55e-09,5.55e-09,5.55e-09,2.11538945,0.168932128,-0.583911858,0.208181656,0.386520419,-9.18e-05,-0.181615627,-0.914169494,-0.151035841,0.521477024,-0.421994563,-0.541058959,-0.318234281,-0.654873437,-0.698605338,0.125247732,-0.447388072,-0.066606162,-0.464140723,1.036028615,-0.312164748,0.280413463,-0.737302932,0.703622502,-0.289329599,0.099915935,-0.593025552,-0.190979058,-0.343200298,-0.397415609,3.86226289851298,medium,4.351134356368765,reference,54.0,14.0,reference,14.0
A23,0.639982992,0.69726475,4483,2.512,17.03,42110,0.3986,4.009,10.85,17.28,8600,6.168431822,0.0,0.3643,1052.0,21120,183.4,148.1,11.0,3.226637088,0.0,4.873,0.927448172,8.575,15.18,41.31,0.193857476,0.781357282,0.45277387,6.775272094,10.9,42.57,-82.58,1.97,3.23,3.0,19.1,3.2e-16,3.2e-16,0.599759503,0.174874217,4.900431127,3.2e-16,0.927564164,2.818993889,3.2e-16,3.2e-16,3.2e-16,2.427993154,5.8729049,3.2e-16,1.022138977,0.599759503,4.07e-09,4.07e-09,0.176080279,0.095079096,0.503314329,4.07e-09,0.218974796,0.381741361,4.07e-09,4.07e-09,4.07e-09,0.354279382,0.550996239,4.07e-09,0.229867263,0.176080279,1.534215186,0.082343858,0.041775908,0.54235314,0.32455503,0.814274218,0.180794497,0.005738807,0.181457306,0.499513323,-0.136950157,0.75720243,-0.318234281,0.275677779,0.334531454,1.126414475,0.30301121,0.588235629,0.218056265,0.912074187,-0.687740036,-0.023640024,0.328420138,-0.117356551,-0.041386984,0.190801964,0.111416924,0.077590343,0.137696305,0.365409986,-0.21129134353111922,medium,4.079810824962199,medium,79.0,38.0,medium,38.0
A27,0.451837823,0.815149129,13620,2.759,0.0537,41610,0.218,6.273,21.08,25.0,16940,0.273647242,0.0,0.1036,2584.0,15140,283.8,140.0,18.99,2.80264238,0.454157295,5.02,0.114866856,0.0,28.66,56.28,0.514212688,1.825672577,0.45843343,7.429817452,10.3,42.56,-82.42,1.32,2.8,1.0,18.4,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.163530775,3.2e-16,3.2e-16,1.317615102,3.2e-16,3.2e-16,3.2e-16,1.802218943,6.402280297,1.58016949,1.317615102,0.996406735,4.4e-09,4.4e-09,4.4e-09,4.4e-09,0.436813358,4.4e-09,4.4e-09,0.281905897,4.4e-09,4.4e-09,4.4e-09,0.329695982,0.621408545,0.308717832,0.281905897,0.245147916,0.905693018,0.210996015,1.833526877,0.669869438,-1.996574812,0.790078306,-0.470280266,1.161978272,1.251275669,0.896266128,1.224509412,-0.754951978,-0.318234281,-0.44704128,1.598878721,0.378016751,1.33187983,0.424806896,1.171131593,0.641289159,-0.123818667,0.00684936,-0.756687364,-1.917416857,1.440670076,0.683375546,1.056450685,0.868995161,0.149457975,0.442485343,-12.974650169988806,reference,-10.70344214213758,medium,93.0,73.0,medium,73.0
A28,0.224379144,0.483363489,12750,2.609,0.06617,33280,0.1197,5.824,18.7,24.07,16270,0.93738752,0.0,0.1568,2320.0,14040,242.5,119.7,18.16,3.201398989,0.144927153,4.57,0.224761622,0.0,26.02,52.7,0.0,1.867356149,0.586789192,2.122595354,12.8,42.55,-82.42,1.4,3.2,0.5,18.9,3.2e-16,3.2e-16,3.2e-16,3.2e-16,4.243152632,3.2e-16,3.2e-16,2.049286938,2.863547385,3.2e-16,3.2e-16,2.771800327,5.867874308,2.049286938,2.863547385,3.2e-16,3.76e-09,3.76e-09,3.76e-09,3.76e-09,0.432265069,3.76e-09,3.76e-09,0.300405031,0.355105993,3.76e-09,3.76e-09,0.349370946,0.508330556,0.300405031,0.355105993,3.76e-09,0.026801771,-0.175739382,1.727090669,0.593468728,-1.986958363,0.33758036,-0.866540318,0.964411438,1.055216012,0.855244201,1.143462857,-0.387848671,-0.318234281,-0.286591445,1.44721687,0.208433747,0.961048093,-0.030017638,1.09193229,0.896732675,-0.483903827,-0.088968853,-0.570350566,-1.917416857,1.212691546,0.578433235,-0.593025552,0.894114481,0.404617982,-0.504533267,-12.710383285688174,reference,0.12453780409910964,medium,92.0,69.0,medium,69.0
A29,0.299714567,0.695356488,23740,3.735,0.1529,40450,0.1536,9.618,44.37,44.72,27500,1.294263787,0.0,0.3743,4163.0,15470,368.8,160.9,35.38,6.180718286,0.831924179,9.589,0.373344239,0.1145,43.92,95.8,0.986736583,0.374731219,0.497881187,5.937485313,9.7,42.51,-82.43,1.07,6.18,0.5,19.3,3.2e-16,3.2e-16,3.2e-16,3.2e-16,5.181663838,3.2e-16,3.2e-16,2.782901878,3.2e-16,3.2e-16,3.2e-16,4.616440732,5.181663838,3.2e-16,3.2e-16,3.2e-16,4.25e-09,4.25e-09,4.25e-09,4.25e-09,0.540107851,4.25e-09,4.25e-09,0.395817344,4.25e-09,4.25e-09,4.25e-09,0.509799617,0.540107851,4.25e-09,4.25e-09,4.25e-09,0.334785434,0.080188567,2.729470388,1.102937018,-1.923033159,0.732805133,-0.726086185,2.335112569,2.489272892,1.531945625,2.197585461,-0.239879005,-0.318234281,0.300566699,2.27006263,0.426493997,1.950070192,0.829211308,2.28941618,2.269688984,0.223999036,0.703332004,-0.343398513,-1.831040728,2.45577583,1.536552137,2.136225987,-0.366882331,0.23019195,0.256692257,-14.827890458167797,reference,8.446216002425992,medium,99.0,93.0,degraded,93.0
A5,0.182194323,0.252476985,2283,2.233,20.11,41360,0.2387,2.702,8.566,9.582,8410,0.184464436,0.0,0.02041,341.5,12330,144.5,125.0,6.156,1.098009622,0.569762617,3.7,0.375648637,28.79,20.49,19.09,0.0,0.474566573,0.279665776,1.524323113,9.03,42.88,-82.46,-1.3,1.1,5.0,19.78,3.2e-16,0.786293307,3.2e-16,3.2e-16,4.142957954,4.362134417,3.2e-16,3.2e-16,3.2e-16,4.362134417,3.2e-16,3.2e-16,2.602281977,5.300335979,3.2e-16,3.2e-16,3.85e-09,0.190988321,3.85e-09,3.85e-09,0.438399232,0.449846187,3.85e-09,3.85e-09,3.85e-09,0.449846187,3.85e-09,3.85e-09,0.347449506,0.495868159,3.85e-09,3.85e-09,-0.154043224,-0.499888892,-1.046060761,0.387055138,0.453463439,0.777871102,-0.390922784,-0.931707147,-0.18660536,-0.116135128,-0.18181562,-0.818485404,-0.318234281,-0.714138592,-1.246640348,-0.08355202,-0.257794845,0.095716086,-0.747401112,-0.882096093,-0.008605752,-0.298424241,-0.340075495,0.787007684,0.652687309,-1.020275807,-0.593025552,-0.246627398,-0.246106131,-0.707353426,4.445049064149705,medium,-15.799591655377315,reference,54.0,15.0,reference,15.0
A53,0.191789448,0.624158656,6051,1.607,19.94,55720,0.4141,4.041,11.97,15.07,9710,1.39763132,0.0,0.3774,1167.0,24210,186.6,153.3,11.49,2.938353347,0.198749225,4.12,0.394816441,9.915,15.8,43.66,0.427624254,0.198326155,0.0,1.508569565,8.7,42.45,-82.47,2.11,2.94,5.2,22.28,3.2e-16,2.482114093,1.102180395,3.2e-16,3.767091052,2.421640234,3.2e-16,3.2e-16,3.2e-16,3.2e-16,3.2e-16,5.619563776,4.810660067,3.2e-16,1.615519968,3.2e-16,3.83e-09,0.337284002,0.224755958,3.83e-09,0.415516171,0.333149897,3.83e-09,3.83e-09,3.83e-09,3.83e-09,3.83e-09,0.507500149,0.469555797,3.83e-09,0.272107829,3.83e-09,-0.11234859,-0.002009589,0.525350389,-0.016710106,0.446854408,1.38156936,0.232695059,0.025482703,0.336703361,0.354396823,0.106839805,-0.201310018,-0.318234281,0.308245502,0.480452554,1.433406046,0.343734058,0.688537383,0.292800072,0.731114576,-0.414717378,-0.192863255,-0.312648676,-0.01299175,0.050572752,0.27869728,0.822349317,-0.602453403,-0.992073942,-0.713323133,1.4204019030960964,medium,1.3921681239681454,medium,92.0,71.0,medium,71.0
